Marca,Modelo,Ano,Tipo_combustivel,Potencia_motor,Cilindros_motor,Tipo_transmissao,Rodas_motrizes,Numero_portas,Tamanho,Estilo,Consumo_estrada_milhas,Consumo_cidade_milhas,Valor($)
Subaru,Impreza WRX,2014,gasolina premium (obrigatoria),305.0,4.0,manual,tracao integral,4.0,compacto,seda,23,17,37845
Mazda,CX-5,2016,gasolina comum,184.0,4.0,automatico,tracao integral,4.0,medio,SUV 4 portas,30,24,26515
Acura,TL,2013,gasolina premium (recomendada),280.0,6.0,automatico,tracao dianteira,4.0,medio,seda,29,20,35905
Pontiac,G6,2009,flex (gasolina/E85),219.0,6.0,automatico,tracao dianteira,2.0,medio,cupe,26,17,24610
Mercedes-Benz,E-Class,2016,gasolina premium (obrigatoria),302.0,6.0,automatico,tracao traseira,4.0,medio,seda,29,20,53100
Ford,Explorer Sport,2001,gasolina comum,203.0,6.0,manual,tracao traseira,2.0,medio,SUV 2 portas,20,16,21035
Lincoln,MKZ,2016,gasolina comum,231.0,4.0,automatico,tracao integral,4.0,medio,seda,31,22,37080
Cadillac,CTS Wagon,2014,gasolina comum,270.0,6.0,automatico,tracao integral,4.0,medio,perua,26,18,44095
Mazda,Tribute,2009,gasolina comum,240.0,6.0,automatico,tracao dianteira,4.0,compacto,SUV 4 portas,26,18,23055
Kia,Rio,2016,gasolina comum,138.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,37,27,17905
Volkswagen,GTI,2013,gasolina premium (recomendada),200.0,4.0,manual automatizado,tracao dianteira,2.0,compacto,hatchback 2 portas,33,24,31495
Chevrolet,Silverado 1500,2015,flex (gasolina/E85),285.0,6.0,automatico,tracao traseira,2.0,grande,picape cabine simples,24,18,26105
Mercedes-Benz,GLC-Class,2016,gasolina premium (obrigatoria),241.0,4.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,28,22,38950
Honda,Insight,2013,gasolina comum,98.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,44,41,18600
Ford,Ranger,2009,gasolina comum,207.0,6.0,manual,tracao nas quatro rodas,2.0,compacto,picape cabine estendida,19,15,22305
Buick,Encore,2016,gasolina comum,138.0,4.0,automatico,tracao dianteira,4.0,compacto,SUV 4 portas,33,25,29785
Ford,Shelby GT350,2015,gasolina premium (recomendada),526.0,8.0,manual,tracao traseira,2.0,medio,cupe,21,14,61295
Audi,Q5,2016,diesel,240.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,31,24,55600
Kia,Forte,2017,gasolina comum,164.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,34,25,21990
BMW,4 Series,2015,gasolina premium (obrigatoria),240.0,4.0,automatico,tracao traseira,2.0,medio,conversivel,34,23,48750
Chevrolet,Impala Limited,2016,flex (gasolina/E85),300.0,6.0,automatico,tracao dianteira,4.0,grande,seda,30,18,25830
Buick,Terraza,2005,gasolina comum,200.0,6.0,automatico,tracao dianteira,4.0,medio,minivan de passageiros,23,16,28110
Chrysler,200,2016,flex (gasolina/E85),184.0,4.0,automatico,tracao dianteira,4.0,medio,seda,36,23,21995
Ford,Freestar,2005,gasolina comum,,6.0,automatico,tracao dianteira,4.0,medio,minivan de passageiros,21,16,29030
Chevrolet,C/K 1500 Series,1997,gasolina comum,200.0,6.0,manual,tracao traseira,2.0,grande,picape cabine simples,20,15,2265
Volvo,XC60,2017,gasolina comum,240.0,4.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,30,23,40950
Ford,Probe,1996,gasolina comum,118.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,30,23,2000
Nissan,Juke,2016,gasolina premium (recomendada),188.0,4.0,automatico,tracao integral,4.0,compacto,hatchback 4 portas,31,26,26940
Mazda,3,2016,gasolina comum,184.0,4.0,manual,tracao dianteira,4.0,compacto,hatchback 4 portas,35,26,25445
GMC,Yukon,2016,flex (gasolina/E85),355.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,SUV 4 portas,22,16,60000
Chevrolet,S-10,2003,gasolina comum,190.0,6.0,manual,tracao nas quatro rodas,3.0,compacto,picape cabine estendida,17,12,23985
Buick,LaCrosse,2016,flex (gasolina/E85),304.0,6.0,automatico,tracao dianteira,4.0,grande,seda,28,18,31065
Dodge,Stratus,2004,gasolina comum,200.0,6.0,automatico,tracao dianteira,2.0,medio,cupe,25,18,23520
Hyundai,Genesis,2016,gasolina comum,311.0,6.0,automatico,tracao traseira,4.0,grande,seda,29,18,38750
Nissan,Leaf,2015,eletrico,,0.0,transmissao direta,tracao dianteira,4.0,compacto,hatchback 4 portas,101,126,35120
Subaru,Impreza WRX,2013,gasolina premium (obrigatoria),265.0,4.0,manual,tracao integral,4.0,compacto,seda,25,19,28295
Infiniti,Q50,2017,gasolina premium (obrigatoria),300.0,6.0,automatico,tracao traseira,4.0,medio,seda,29,20,44650
Kia,Rio,2015,gasolina comum,138.0,4.0,automatico,tracao dianteira,4.0,compacto,seda,37,27,18090
Buick,LaCrosse,2015,gasolina comum,182.0,4.0,automatico,tracao dianteira,4.0,grande,seda,36,25,33635
Dodge,Ram Cargo,2002,gasolina comum,175.0,6.0,automatico,tracao traseira,3.0,grande,van de carga,15,13,21430
Toyota,Camry,2016,gasolina comum,178.0,4.0,automatico,tracao dianteira,4.0,medio,seda,35,25,23070
Oldsmobile,Ciera,1995,gasolina comum,160.0,6.0,automatico,tracao dianteira,4.0,medio,perua,26,17,2000
Hyundai,Sonata Hybrid,2016,gasolina comum,193.0,4.0,automatico,tracao dianteira,4.0,medio,seda,43,39,30100
Lincoln,LS,2005,gasolina premium (obrigatoria),232.0,6.0,automatico,tracao traseira,4.0,medio,seda,24,17,36990
Mitsubishi,i-MiEV,2014,eletrico,,,transmissao direta,tracao traseira,4.0,compacto,hatchback 4 portas,99,126,22995
Honda,Fit EV,2013,eletrico,,0.0,transmissao direta,tracao dianteira,4.0,compacto,hatchback 4 portas,105,132,36625
Dodge,Ramcharger,1993,gasolina comum,230.0,8.0,automatico,tracao nas quatro rodas,2.0,medio,SUV 2 portas,15,11,2000
Ford,Probe,1995,gasolina comum,164.0,6.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,24,18,2000
Porsche,Boxster,2016,gasolina premium (obrigatoria),315.0,6.0,manual,tracao traseira,2.0,compacto,conversivel,28,20,63900
HUMMER,H3,2010,gasolina comum,239.0,5.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,18,14,38365
Suzuki,Esteem,2000,gasolina comum,122.0,4.0,manual,tracao dianteira,4.0,compacto,seda,32,24,2000
Chevrolet,Impala,2016,gasolina comum,195.0,4.0,automatico,tracao dianteira,4.0,grande,seda,31,22,27095
Dodge,Dakota,2009,gasolina comum,210.0,6.0,automatico,tracao traseira,4.0,compacto,picape cabine estendida,20,15,22560
Ford,F-150,2017,flex (gasolina/E85),385.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,21,15,35870
Chevrolet,Sonic,2015,gasolina comum,138.0,4.0,automatico,tracao dianteira,4.0,compacto,seda,37,27,19680
Audi,100,1992,gasolina comum,172.0,6.0,automatico,tracao integral,4.0,medio,perua,20,16,2000
Mazda,Truck,2003,gasolina comum,135.0,4.0,manual,tracao traseira,2.0,compacto,picape cabine simples,26,21,13930
GMC,Sierra 1500HD,2006,gasolina comum,300.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine dupla,16,13,36525
Volvo,V60,2015,gasolina comum,325.0,6.0,automatico,tracao integral,4.0,medio,perua,28,19,45150
Toyota,RAV4,2016,gasolina comum,176.0,4.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,31,24,24350
Oldsmobile,Eighty-Eight Royale,1995,gasolina comum,225.0,6.0,automatico,tracao dianteira,4.0,grande,seda,26,17,2000
Volkswagen,Jetta SportWagen,2014,diesel,140.0,4.0,manual automatizado,tracao dianteira,4.0,compacto,perua,39,29,27665
Cadillac,CTS,2015,gasolina premium (recomendada),272.0,4.0,automatico,tracao integral,4.0,grande,seda,28,19,57670
Suzuki,Equator,2011,gasolina comum,152.0,4.0,automatico,tracao traseira,4.0,compacto,picape cabine estendida,22,17,22479
Mitsubishi,Eclipse Spyder,2011,gasolina comum,162.0,4.0,automatico,tracao dianteira,2.0,compacto,conversivel,27,20,27999
Chevrolet,HHR,2010,flex (gasolina/E85),155.0,4.0,manual,tracao dianteira,4.0,compacto,perua,32,22,19030
Volkswagen,Jetta SportWagen,2012,diesel,140.0,4.0,manual automatizado,tracao dianteira,4.0,compacto,perua,39,29,26640
Lexus,ES 250,1990,gasolina comum,156.0,6.0,manual,tracao dianteira,4.0,compacto,seda,24,17,2000
Infiniti,G37,2009,gasolina premium (obrigatoria),330.0,6.0,automatico,tracao traseira,2.0,medio,cupe,26,18,35900
Chevrolet,Avalanche,2011,flex (gasolina/E85),320.0,8.0,automatico,tracao traseira,4.0,grande,picape cabine dupla,21,15,36300
Mercedes-Benz,600-Class,1993,gasolina comum,389.0,12.0,automatico,tracao traseira,2.0,grande,cupe,15,11,3211
Hyundai,Tucson,2017,gasolina comum,175.0,4.0,manual automatizado,tracao integral,4.0,compacto,SUV 4 portas,30,25,25550
Dodge,RAM 250,1991,gasolina comum,170.0,8.0,manual,tracao traseira,2.0,grande,picape cabine estendida,13,11,2000
Volkswagen,GLI,2008,gasolina premium (obrigatoria),200.0,4.0,manual,tracao dianteira,4.0,compacto,seda,29,20,24300
Infiniti,G37,2009,gasolina premium (obrigatoria),328.0,6.0,automatico,tracao traseira,4.0,medio,seda,26,18,33700
Pontiac,Grand Am,2004,gasolina comum,140.0,4.0,manual,tracao dianteira,4.0,medio,seda,33,23,17070
Infiniti,JX,2013,gasolina premium (recomendada),265.0,6.0,automatico,tracao integral,4.0,grande,SUV 4 portas,23,18,42650
Ford,Mustang,2015,gasolina premium (recomendada),310.0,4.0,manual,tracao traseira,2.0,medio,conversivel,31,22,34800
Volkswagen,CC,2017,gasolina premium (recomendada),200.0,4.0,manual automatizado,tracao dianteira,4.0,medio,seda,31,22,37820
Chevrolet,Blazer,2003,gasolina comum,190.0,6.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,21,15,24695
Pontiac,Montana,2003,gasolina comum,185.0,6.0,automatico,tracao integral,4.0,medio,minivan de passageiros,22,16,33790
Lincoln,MKC,2016,gasolina comum,240.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,26,19,48950
Subaru,Baja,2005,gasolina premium (obrigatoria),210.0,4.0,manual,tracao integral,4.0,compacto,picape cabine dupla,23,17,24345
Volvo,XC90,2017,gasolina premium (recomendada),250.0,4.0,automatico,tracao dianteira,4.0,grande,SUV 4 portas,26,22,45750
Suzuki,Grand Vitara,2011,gasolina comum,166.0,4.0,automatico,tracao traseira,4.0,compacto,SUV 4 portas,25,19,23449
Cadillac,ATS,2017,gasolina comum,335.0,6.0,automatico,tracao integral,4.0,medio,seda,27,19,45995
Buick,LeSabre,2005,gasolina comum,205.0,6.0,automatico,tracao dianteira,4.0,grande,seda,27,18,32385
Honda,Civic,2016,gasolina comum,158.0,4.0,automatico,tracao dianteira,4.0,medio,seda,41,31,21040
Toyota,Matrix,2012,gasolina comum,158.0,4.0,automatico,tracao integral,4.0,compacto,hatchback 4 portas,26,20,21715
Ford,Shelby GT500,2014,gasolina premium (obrigatoria),662.0,8.0,manual,tracao traseira,2.0,medio,cupe,24,15,55110
Hyundai,Tucson,2016,gasolina comum,175.0,4.0,manual automatizado,tracao integral,4.0,compacto,SUV 4 portas,28,24,31300
Mercedes-Benz,500-Class,1992,gasolina comum,322.0,8.0,automatico,tracao traseira,4.0,medio,seda,16,13,3245
Volkswagen,Eos,2015,gasolina premium (recomendada),200.0,4.0,manual automatizado,tracao dianteira,2.0,compacto,conversivel,30,22,42745
Volkswagen,Passat,2015,gasolina comum,170.0,4.0,automatico,tracao dianteira,4.0,medio,seda,36,24,28115
Toyota,Sienna,2015,gasolina comum,266.0,6.0,automatico,tracao dianteira,4.0,grande,minivan de passageiros,25,18,31430
Land Rover,Discovery Series II,2001,gasolina premium (obrigatoria),188.0,8.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,16,12,34350
Oldsmobile,Ciera,1996,gasolina comum,120.0,4.0,automatico,tracao dianteira,4.0,medio,seda,29,21,2000
Land Rover,Range Rover Evoque,2016,gasolina premium (recomendada),240.0,4.0,automatico,tracao integral,2.0,compacto,SUV 2 portas,30,21,46675
Suzuki,Esteem,2002,gasolina comum,122.0,4.0,manual,tracao dianteira,4.0,compacto,perua,31,24,13799
Mitsubishi,Lancer Evolution,2015,gasolina premium (obrigatoria),291.0,4.0,manual automatizado,tracao integral,4.0,compacto,seda,22,17,38995
Nissan,Murano,2017,gasolina comum,260.0,6.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,28,21,39180
Dodge,Neon,2004,gasolina premium (obrigatoria),225.0,4.0,manual,tracao dianteira,4.0,compacto,seda,28,19,20450
Buick,Roadmaster,1995,gasolina comum,260.0,8.0,automatico,tracao traseira,4.0,grande,perua,23,15,2000
Volkswagen,Rabbit,2009,gasolina comum,170.0,5.0,automatico,tracao dianteira,2.0,compacto,hatchback 2 portas,29,20,17400
Cadillac,Eldorado,2002,gasolina comum,300.0,8.0,automatico,tracao dianteira,2.0,grande,cupe,25,16,47660
Dodge,Grand Caravan,2016,flex (gasolina/E85),283.0,6.0,automatico,tracao dianteira,4.0,medio,minivan de passageiros,25,17,26195
Suzuki,SX4,2013,gasolina comum,148.0,4.0,automatico,tracao integral,4.0,compacto,hatchback 4 portas,29,23,20449
Volvo,XC90,2016,gasolina premium (recomendada),316.0,4.0,automatico,tracao integral,4.0,grande,SUV 4 portas,25,20,65700
Cadillac,CTS,2015,gasolina premium (recomendada),272.0,4.0,automatico,tracao traseira,4.0,grande,seda,30,20,51270
Pontiac,Firebird,2000,gasolina comum,305.0,8.0,desconhecido,tracao traseira,2.0,medio,conversivel,23,15,9567
GMC,Sierra 1500 Classic,2007,flex (gasolina/E85),295.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine dupla,17,13,31965
Ford,Expedition,2017,gasolina comum,365.0,6.0,automatico,tracao nas quatro rodas,4.0,grande,SUV 4 portas,19,15,61061
Saab,9-3 Griffin,2012,flex (gasolina premium recomendada/E85),220.0,4.0,automatico,tracao dianteira,2.0,compacto,conversivel,28,18,40840
Oldsmobile,Alero,2003,gasolina comum,170.0,6.0,automatico,tracao dianteira,2.0,medio,cupe,27,18,22935
Chevrolet,Silverado 1500 Classic,2007,flex (gasolina/E85),295.0,8.0,automatico,tracao traseira,4.0,grande,picape cabine estendida,19,14,25915
Dodge,Challenger,2017,gasolina premium (recomendada),485.0,8.0,manual,tracao traseira,2.0,grande,cupe,23,14,42795
GMC,Vandura,1994,gasolina comum,200.0,8.0,automatico,tracao traseira,3.0,grande,van de carga,16,12,2000
Mitsubishi,3000GT,1999,gasolina comum,218.0,6.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,23,17,5306
Subaru,WRX,2016,gasolina premium (recomendada),268.0,4.0,manual,tracao integral,4.0,compacto,seda,27,20,26595
Infiniti,Q70,2014,gasolina premium (recomendada),360.0,6.0,automatico,tracao traseira,4.0,grande,seda,34,29,55650
Buick,Enclave,2016,gasolina comum,288.0,6.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,22,15,47515
Volkswagen,Beetle Convertible,2015,diesel,150.0,4.0,manual,tracao dianteira,2.0,compacto,conversivel,40,30,29095
Audi,Q5,2016,diesel,240.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,31,24,50200
Honda,Passport,2001,gasolina comum,205.0,6.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,20,15,28050
Ford,Fusion Hybrid,2017,gasolina comum,188.0,4.0,automatico,tracao dianteira,4.0,medio,seda,41,43,25675
Chevrolet,TrailBlazer,2008,gasolina comum,285.0,6.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,20,14,29880
GMC,S-15,1990,gasolina comum,105.0,4.0,manual,tracao traseira,2.0,compacto,picape cabine simples,25,21,2000
Chevrolet,TrailBlazer,2009,gasolina comum,285.0,6.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,20,14,29155
GMC,Sierra 1500,2015,flex (gasolina/E85),285.0,6.0,automatico,tracao nas quatro rodas,2.0,grande,picape cabine simples,22,17,30610
Saab,9-5,2009,gasolina premium (recomendada),260.0,4.0,automatico,tracao dianteira,4.0,medio,seda,27,17,38380
Chevrolet,Corvette,2016,gasolina premium (recomendada),455.0,8.0,manual,tracao traseira,2.0,compacto,conversivel,29,17,59400
GMC,Sierra 1500,2016,gasolina comum,355.0,8.0,automatico,tracao traseira,4.0,grande,picape cabine dupla,23,16,51090
Cadillac,CTS,2017,gasolina premium (recomendada),268.0,4.0,automatico,tracao integral,4.0,grande,seda,29,21,53695
Cadillac,CTS Coupe,2014,gasolina comum,318.0,6.0,automatico,tracao traseira,2.0,medio,cupe,27,18,47995
Nissan,Xterra,2014,gasolina comum,261.0,6.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,20,15,31370
Volkswagen,CC,2016,gasolina premium (recomendada),200.0,4.0,manual,tracao dianteira,4.0,medio,seda,32,21,34655
Lexus,HS 250h,2011,gasolina comum,187.0,4.0,automatico,tracao dianteira,4.0,medio,seda,34,35,36330
Oldsmobile,Cutlass Ciera,1994,gasolina comum,160.0,6.0,automatico,tracao dianteira,4.0,medio,perua,26,17,2000
Ford,F-150,2016,flex (gasolina/E85),385.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine dupla,21,15,46895
Dodge,Stratus,2004,gasolina comum,150.0,4.0,automatico,tracao dianteira,4.0,medio,seda,27,20,19970
Chevrolet,Silverado 1500,2017,flex (gasolina/E85),285.0,6.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine dupla,22,17,39185
Honda,Fit,2017,gasolina comum,130.0,4.0,manual,tracao dianteira,4.0,compacto,hatchback 4 portas,36,29,17900
Toyota,Tacoma,2016,gasolina comum,278.0,6.0,manual,tracao nas quatro rodas,4.0,compacto,picape cabine dupla,21,17,32460
Acura,TSX,2013,gasolina premium (recomendada),201.0,4.0,automatico,tracao dianteira,4.0,medio,seda,31,22,33610
Ford,E-150,1997,gasolina comum,200.0,6.0,automatico,tracao traseira,3.0,medio,van de carga,18,14,2000
Toyota,Corolla,2015,gasolina comum,132.0,4.0,manual,tracao dianteira,4.0,compacto,seda,37,28,16950
Toyota,Tacoma,2015,gasolina comum,159.0,4.0,automatico,tracao traseira,4.0,compacto,picape cabine estendida,24,19,22525
Dodge,Challenger,2015,gasolina comum,305.0,6.0,automatico,tracao traseira,2.0,grande,cupe,30,19,26995
Ford,F-250,1999,gasolina comum,220.0,8.0,manual,tracao nas quatro rodas,2.0,grande,picape cabine simples,16,12,3269
Volkswagen,GTI,2013,gasolina premium (recomendada),200.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,31,21,30395
Audi,A3,2016,gasolina premium (recomendada),170.0,4.0,manual automatizado,tracao dianteira,2.0,compacto,conversivel,35,24,36600
Subaru,Outback,2015,gasolina comum,175.0,4.0,automatico,tracao integral,4.0,medio,SUV 4 portas,33,25,26995
Acura,RSX,2006,gasolina comum,155.0,4.0,automatico,tracao dianteira,2.0,compacto,hatchback 2 portas,31,22,22375
GMC,Sierra 1500 Classic,2007,gasolina comum,285.0,8.0,automatico,tracao traseira,4.0,grande,picape cabine estendida,19,15,25215
Acura,Integra,2001,gasolina comum,140.0,4.0,automatico,tracao dianteira,4.0,compacto,seda,28,21,22400
Volkswagen,Golf Alltrack,2017,gasolina comum,170.0,4.0,manual,tracao integral,4.0,compacto,perua,30,22,29430
BMW,3 Series,2016,gasolina premium (obrigatoria),240.0,4.0,manual,tracao traseira,4.0,medio,seda,34,22,38350
Nissan,Xterra,2014,gasolina comum,261.0,6.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,22,16,23390
Hyundai,Santa Fe,2017,gasolina comum,290.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,22,17,41150
GMC,Canyon,2012,gasolina comum,242.0,5.0,automatico,tracao nas quatro rodas,4.0,compacto,picape cabine dupla,21,16,29125
Chevrolet,Malibu,2015,gasolina comum,196.0,4.0,automatico,tracao dianteira,4.0,medio,seda,36,25,28195
Mazda,3,2015,gasolina comum,155.0,4.0,automatico,tracao dianteira,4.0,compacto,seda,41,30,23795
Dodge,Intrepid,2002,gasolina comum,200.0,6.0,automatico,tracao dianteira,4.0,grande,seda,26,18,20810
Dodge,Charger,2017,gasolina comum,370.0,8.0,automatico,tracao traseira,4.0,grande,seda,25,16,34790
Chevrolet,Silverado 1500,2017,flex (gasolina/E85),285.0,6.0,automatico,tracao traseira,2.0,grande,picape cabine simples,24,18,29610
Volkswagen,Jetta,2015,gasolina comum,115.0,4.0,manual,tracao dianteira,4.0,medio,seda,34,25,16215
Audi,Q7,2014,gasolina premium (obrigatoria),280.0,6.0,automatico,tracao integral,4.0,grande,SUV 4 portas,22,16,47700
Subaru,XV Crosstrek,2013,gasolina comum,148.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,33,25,22995
Chevrolet,Corvette,2016,gasolina premium (recomendada),455.0,8.0,manual,tracao traseira,2.0,compacto,conversivel,29,17,63855
Mercedes-Benz,GLE-Class,2017,gasolina premium (obrigatoria),302.0,6.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,23,18,52000
Toyota,Sequoia,2016,gasolina comum,381.0,8.0,automatico,tracao traseira,4.0,grande,SUV 4 portas,17,13,45325
Subaru,Baja,2006,gasolina comum,165.0,4.0,automatico,tracao integral,4.0,compacto,picape cabine dupla,25,19,23295
Dodge,Shadow,1993,gasolina comum,100.0,4.0,manual,tracao dianteira,2.0,compacto,conversivel,29,22,2000
Toyota,Tundra,2015,flex (gasolina/E85),381.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,17,13,34710
Mazda,CX-5,2014,gasolina comum,155.0,4.0,automatico,tracao integral,4.0,medio,SUV 4 portas,31,25,24045
GMC,Sierra 1500 Hybrid,2013,gasolina comum,332.0,8.0,automatico,tracao traseira,4.0,grande,picape cabine dupla,23,20,48335
Suzuki,XL-7,2004,gasolina comum,185.0,6.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,20,15,27499
Nissan,240SX,1998,gasolina comum,155.0,4.0,manual,tracao traseira,2.0,compacto,cupe,25,20,4299
Subaru,Legacy,2016,gasolina comum,175.0,4.0,automatico,tracao integral,4.0,medio,seda,36,26,24145
Lexus,NX 300h,2015,gasolina comum,194.0,4.0,automatico,tracao integral,4.0,medio,SUV 4 portas,30,33,41310
Chevrolet,Malibu,2016,gasolina comum,160.0,4.0,automatico,tracao dianteira,4.0,medio,seda,37,27,23120
Mercedes-Benz,SLC-Class,2017,gasolina premium (obrigatoria),241.0,4.0,automatico,tracao traseira,2.0,compacto,conversivel,32,25,47950
Toyota,4Runner,2014,gasolina comum,270.0,6.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,22,17,35725
Honda,HR-V,2017,gasolina comum,141.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,31,27,23515
Oldsmobile,Custom Cruiser,1992,gasolina comum,170.0,8.0,automatico,tracao traseira,4.0,grande,perua,23,15,2000
Volkswagen,Jetta,2016,gasolina comum,170.0,4.0,automatico,tracao dianteira,4.0,medio,seda,36,25,25380
Lincoln,MKS,2015,gasolina comum,305.0,6.0,automatico,tracao dianteira,4.0,grande,seda,28,19,38850
Volkswagen,Tiguan,2015,gasolina premium (recomendada),200.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,26,20,35565
Dodge,Intrepid,2003,gasolina comum,244.0,6.0,automatico,tracao dianteira,4.0,grande,seda,25,17,24875
